tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres								
tt10235658	tvSeries	Jaane Kya Hoga Rama Re	Jaane Kya Hoga Rama Re	0	2015	2016	\N	Drama								
tt10235674	tvSeries	Zindagi Abhi Baaki Hai Mere Ghost	Zindagi Abhi Baaki Hai Mere Ghost	0	2015	2016	\N	Family								
tt10235810	tvSeries	Daffa 420	Daffa 420	0	2015	\N	\N	Comedy								
tt10235910	tvSeries	Life OK Screen Awards	Life OK Screen Awards	0	2015	\N	\N	Reality-TV								
tt10235926	tvSeries	Dil Dosti Duniyadaari	Dil Dosti Duniyadaari	0	2015	\N	30	Drama								
tt10236860	tvSeries	La Bande-Annonce de Fred	La Bande-Annonce de Fred	0	2015	2017	\N	Comedy								
tt10243684	tvSeries	Israel	Israel	0	2015	\N	\N	News	Talk-Show							
tt10244188	tvSeries	The Big House Reborn	The Big House Reborn	0	2015	2015	\N	Documentary								
tt10244328	tvSeries	Daniel and Majella's B&B Road Trip	Daniel and Majella's B&B Road Trip	0	2015	\N	\N	Documentary								
tt10252488	tvSeries	Equalizer	Ikwollaijyeo	0	2015	2015	5	Comedy								
tt10254536	tvSeries	Skapparoneday	Skapparoneday	0	2015	2016	\N	Comedy								
tt10254864	tvSeries	Equilibrios	Equilibrios	0	2015	2015	26	Documentary								
tt10257002	tvSeries	Million Doll	Million Doll	0	2015	2015	\N	Animation	Drama	Music						
tt10257376	tvSeries	De Blauwe Gids	De Blauwe Gids	0	2015	2015	\N	Documentary								
tt10261688	tvSeries	Grumology	Grumology	0	2015	2015	\N	Animation	Short							
tt10268570	tvSeries	If I Had a Dime	If I Had a Dime	0	2015	\N	\N	Animation								
tt10270842	tvSeries	Konjam Coffee Niraya Cinema	Konjam Coffee Niraya Cinema	0	2015	2020	\N	\N								
tt10270950	tvSeries	Lakshmi Vanthachu	Lakshmi Vanthachu	0	2015	2017	\N	Romance								
tt10271022	tvSeries	Janbaaz Sindbad	Janbaaz Sindbad	0	2015	\N	\N	Fantasy								
tt10271834	tvSeries	Life with Dusty	Life with Dusty	0	2015	\N	\N	Reality-TV								
tt10271894	tvSeries	India Poochega Sabse Shaana Kaun	India Poochega Sabse Shaana Kaun	0	2015	\N	\N	Reality-TV								
tt10271980	tvSeries	Mahadevi	Mahadevi	0	2015	\N	\N	Drama								
tt10275838	tvSeries	Gorillaphent	Gorillaphent	0	2015	\N	\N	Comedy								
tt10285256	tvSeries	The Pandora Men	The Pandora Men	0	2015	\N	20	Sci-Fi								
tt10287372	tvSeries	Chasseurs d'appart'	Chasseurs d'appart'	0	2015	\N	\N	Reality-TV								
tt10294644	tvSeries	Intense Battles	Intense Battles	0	2015	2016	\N	Action								
tt10295206	tvSeries	Brottsplats Sverige	Brottsplats Sverige	0	2015	2016	45	Crime								
tt10295448	tvSeries	Mr And Mrs Rangegowda	Mr And Mrs Rangegowda	0	2015	\N	\N	Drama								
tt10295942	tvSeries	Sangat	Sangat	0	2015	2016	\N	Drama								
tt10299734	tvSeries	Backyard Boston	Backyard Boston	0	2015	\N	\N	Talk-Show								
tt10303154	tvSeries	Mella Thirandhathu Kadhavu	Mella Thirandhathu Kadhavu	0	2015	2017	22	Drama								
tt10305440	tvSeries	Annakodiyum Aindhu Pengalum	Annakodiyum Aindhu Pengalum	0	2015	2016	22	Drama								
